lon(deg),lat(deg),alt(m) 'select st_asgeojson(shape) from adasdemo'
113.2064783786,23.007762366398,-2.628715
113.206478920387,23.0077623345571,-2.62896599899948
113.20647946412,23.0077623025801,-2.62921786224874
113.206480009798,23.007762270467,-2.62947058934411
113.206480557421,23.0077622382174,-2.62972417988048
113.206481106989,23.0077622058312,-2.62997863345136
113.206481658503,23.0077621733082,-2.63023394964885
113.206482211961,23.0077621406481,-2.63049012806365
113.206482767364,23.0077621078506,-2.63074716828504
113.206483324713,23.0077620749156,-2.63100506990092
113.206483884007,23.0077620418429,-2.63126383249778
113.206484445245,23.0077620086322,-2.6315234556607
113.206485008429,23.0077619752832,-2.63178393897336
113.206485573557,23.0077619417959,-2.63204528201804
113.206486140631,23.0077619081699,-2.63230748437564
113.206486709649,23.0077618744049,-2.63257054562563
113.206487280613,23.0077618405009,-2.63283446534609
113.206487853521,23.0077618064575,-2.6330992431137
113.206488428374,23.0077617722745,-2.63336487850376
113.206489005173,23.0077617379518,-2.63363137109015
113.206489583915,23.0077617034889,-2.63389872044535
113.206490164603,23.0077616688859,-2.63416692614045
113.206490747236,23.0077616341423,-2.63443598774516
113.206491331813,23.0077615992579,-2.63470590482776
113.206491918335,23.0077615642327,-2.63497667695516
113.206492506802,23.0077615290662,-2.63524830369286
113.206493097214,23.0077614937582,-2.63552078460498
113.20649368957,23.0077614583086,-2.63579411925424
113.206494283871,23.0077614227171,-2.63606830720194
113.206494880117,23.0077613869835,-2.63634334800803
113.206495478308,23.0077613511075,-2.63661924123103
113.206496078443,23.0077613150889,-2.63689598642809
113.206496680522,23.0077612789274,-2.63717358315496
113.206497284546,23.0077612426228,-2.63745203096599
113.206497890515,23.0077612061749,-2.63773132941416
113.206498498429,23.0077611695835,-2.63801147805104
113.206499108287,23.0077611328482,-2.63829247642682
113.206499720089,23.0077610959689,-2.63857432409028
113.206500333836,23.0077610589453,-2.63885702058885
113.206500949528,23.0077610217772,-2.63914056546853
113.206501567163,23.0077609844644,-2.63942495827396
113.206502186744,23.0077609470065,-2.63971019854837
113.206502808269,23.0077609094033,-2.63999628583363
113.206503431738,23.0077608716547,-2.64028321967019
113.206504057151,23.0077608337604,-2.64057099959714
113.206504684509,23.00776079572,-2.64085962515218
113.206505313812,23.0077607575335,-2.6411490958716
113.206505945058,23.0077607192004,-2.64143941129035
113.206506578249,23.0077606807207,-2.64173057094195
113.206507213384,23.007760642094,-2.64202257435856
113.206507850464,23.0077606033201,-2.64231542107096
113.206508489487,23.0077605643987,-2.64260911060853
113.206509130455,23.0077605253296,-2.64290364249928
113.206509773367,23.0077604861126,-2.64319901626985
113.206510418224,23.0077604467474,-2.64349523144546
113.206511065024,23.0077604072337,-2.64379228754999
113.206511713769,23.0077603675714,-2.64409018410591
113.206512364457,23.0077603277601,-2.64438892063434
113.20651301709,23.0077602877996,-2.64468849665499
113.206513671667,23.0077602476897,-2.6449889116862
113.206514328188,23.00776020743,-2.64529016524495
113.206514986653,23.0077601670205,-2.64559225684682
113.206515647062,23.0077601264607,-2.64589518600603
113.206516309415,23.0077600857505,-2.64619895223541
113.206516973712,23.0077600448895,-2.64650355504641
113.206517639953,23.0077600038777,-2.64680899394912
113.206518308138,23.0077599627146,-2.64711526845225
113.206518978266,23.0077599214,-2.64742237806312
113.206519650339,23.0077598799337,-2.64773032228771
113.206520324356,23.0077598383154,-2.64803910063059
113.206521000316,23.007759796545,-2.64834871259497
113.20652167822,23.007759754622,-2.6486591576827
113.206522358068,23.0077597125463,-2.64897043539425
113.20652303986,23.0077596703176,-2.6492825452287
113.206523723595,23.0077596279356,-2.64959548668379
113.206524409275,23.0077595854001,-2.64990925925587
113.206525096898,23.0077595427108,-2.65022386243992
113.206525786464,23.0077594998675,-2.65053929572956
113.206526477975,23.0077594568699,-2.65085555861704
113.206527171429,23.0077594137178,-2.65117265059324
113.206527866826,23.0077593704109,-2.65149057114767
113.206528564168,23.0077593269489,-2.65180931976848
113.206529263453,23.0077592833315,-2.65212889594243
113.206529964681,23.0077592395586,-2.65244929915495
113.206530667853,23.0077591956298,-2.65277052889008
113.206531372968,23.0077591515449,-2.6530925846305
113.206532080027,23.0077591073036,-2.65341546585754
113.20653278903,23.0077590629057,-2.65373917205113
113.206533499976,23.0077590183509,-2.65406370268988
113.206534212865,23.0077589736389,-2.65438905725102
113.206534927698,23.0077589287695,-2.6547152352104
113.206535644474,23.0077588837424,-2.65504223604254
113.206536363194,23.0077588385574,-2.65537005922058
113.206537083857,23.0077587932141,-2.6556987042163
113.206537806463,23.0077587477124,-2.65602817050012
113.206538531013,23.0077587020518,-2.65635845754112
113.206539257505,23.0077586562323,-2.65668956480699
113.206539985941,23.0077586102535,-2.65702149176408
113.206540716321,23.0077585641151,-2.6573542378774
113.206541448643,23.007758517817,-2.65768780261056
113.206542182909,23.0077584713587,-2.65802218542584
113.206542919118,23.0077584247401,-2.65835738578418
113.20654365727,23.0077583779608,-2.65869340314513
113.206544397365,23.0077583310207,-2.6590302369669
113.206545139404,23.0077582839194,-2.65936788670637
113.206545883385,23.0077582366567,-2.65970635181902
113.206546629309,23.0077581892323,-2.66004563175902
113.206547377177,23.0077581416459,-2.66038572597916
113.206548126987,23.0077580938973,-2.66072663393089
113.206548878741,23.0077580459862,-2.66106835506431
113.206549632437,23.0077579979123,-2.66141088882816
113.206550388077,23.0077579496754,-2.66175423466985
113.206551145659,23.0077579012751,-2.66209839203542
113.206551905184,23.0077578527112,-2.66244336036958
113.206552666652,23.0077578039835,-2.66278913911566
