lon(deg),lat(deg),alt(m) 'select st_asgeojson(shape) from adasline'
113.2064783786,23.007762366398,-2.628715
113.20648814125,23.007761841618,-2.633262
113.20649788448,23.007761306348,-2.637807
113.20650760822,23.007760761118,-2.642349
113.20651731246,23.007760206438,-2.646887
113.2065269962,23.007759642508,-2.651419
113.20653666115,23.007759069928,-2.655943
113.20654630653,23.007758489258,-2.660457
113.20655593094,23.007757900458,-2.664961
113.20656553698,23.007757304258,-2.669452
113.20657512183,23.007756700818,-2.67393
113.20658468851,23.007756090478,-2.678392
113.20659423383,23.007755473558,-2.682836
113.20660376119,23.007754850318,-2.687262
113.20661326703,23.007754220998,-2.691666
113.206622089365,23.0077529748558,-2.696048
113.206631557745,23.0077523340058,-2.700405
113.206641004475,23.0077516880958,-2.704737
113.206650433645,23.0077510369858,-2.709041
113.206659841065,23.0077503809258,-2.713315
113.206669228855,23.0077497202758,-2.717558
113.206678597035,23.0077490551958,-2.721768
113.206687947935,23.0077483853958,-2.725944
113.206697276995,23.0077477116458,-2.730083
113.206706586525,23.0077470339458,-2.734184
113.206715876545,23.0077463524258,-2.738246
113.206725149545,23.0077456669358,-2.742268
113.206734400645,23.0077449780258,-2.746247
113.206743632345,23.0077442857258,-2.750184
113.206752844645,23.0077435901558,-2.754075
113.206762037575,23.0077428914358,-2.757922
113.206771211185,23.0077421896858,-2.761722
113.206780365475,23.0077414850058,-2.765476
113.206789503065,23.0077407772958,-2.769182
113.206798618845,23.0077400670258,-2.77284
113.206807715415,23.0077393541658,-2.776451
113.206816792795,23.0077386388058,-2.780013
113.206825851015,23.0077379210558,-2.783527
113.206834890105,23.0077372009858,-2.786994
113.206843910105,23.0077364787058,-2.790413
113.206852911035,23.0077357542958,-2.793787
113.206861892945,23.0077350278358,-2.797114
113.206870855845,23.0077342994058,-2.800398
113.206879799775,23.0077335690958,-2.803638
113.206888724785,23.0077328369758,-2.806837
113.206897628215,23.0077321033258,-2.809995
113.206906515415,23.0077313677358,-2.813115
113.206915383795,23.0077306305458,-2.816199
113.206924233355,23.0077298918258,-2.819249
113.206933064125,23.0077291516458,-2.822266
113.206941876145,23.0077284100758,-2.825254
113.206950669465,23.0077276671558,-2.828214
113.206959444095,23.0077269229758,-2.831149
113.206968087895,23.0077259299223,-2.834063
113.206976822605,23.0077251834823,-2.836956
113.206985541375,23.0077244356923,-2.839833
113.206994249205,23.0077237706623,-2.842695
113.207002937275,23.0077230873623,-2.845545
113.207011605755,23.0077223888823,-2.848387
113.207020252175,23.0077216779123,-2.851222
113.207028881915,23.0077209560223,-2.854054
113.207037492475,23.0077202250323,-2.856884
113.207046083995,23.0077194862823,-2.859715
113.207054653745,23.0077187406523,-2.86255
113.207063207465,23.0077179890123,-2.86539
113.207071742435,23.0077172324623,-2.868238
113.207080258605,23.0077164715123,-2.871096
113.207088753785,23.0077157066923,-2.873965
113.207097233025,23.0077149385523,-2.876847
113.207105693735,23.0077141674323,-2.879743
113.207114133655,23.0077133940123,-2.882655
113.207122557775,23.0077126184223,-2.885583
113.207130963735,23.0077118407423,-2.888528
113.207139351535,23.0077110618123,-2.891491
113.207147245759,23.0077099869393,-2.894473
113.207155597409,23.0077092057393,-2.897474
113.207163931029,23.0077084236193,-2.900493
113.207172244309,23.0077076413093,-2.903531
113.207180542139,23.0077068583193,-2.906588
113.207188819739,23.0077060754993,-2.909662
113.207197081979,23.0077052923993,-2.912753
113.207205326499,23.0077045095693,-2.915861
113.207213550949,23.0077037272893,-2.918985
113.207221760169,23.0077029453593,-2.922123
113.207229951829,23.0077021640993,-2.925275
113.207238123569,23.0077013839593,-2.928439
113.207246280229,23.0077006046093,-2.931613
113.207254417099,23.0076998266793,-2.934797
113.207262538949,23.0076990498793,-2.937988
113.207270641129,23.0076982748393,-2.941186
113.207278728379,23.0076975012893,-2.944389
113.207286798399,23.0076967296693,-2.947596
113.207294848939,23.0076959603493,-2.950804
113.207302884669,23.0076951931893,-2.954012
113.207310901079,23.0076944288193,-2.957219
113.207318902749,23.0076936670393,-2.960423
113.207326885229,23.0076929087393,-2.963623
113.207334853119,23.0076921537293,-2.966818
113.207342801949,23.0076914028293,-2.970006
113.207350736319,23.0076906561193,-2.973187
113.207358651819,23.0076899146393,-2.976359
113.207366553019,23.0076891787693,-2.979521
113.207374435579,23.0076884497493,-2.982672
113.207382299929,23.0076876897193,-2.985812
113.207390145089,23.0076869302393,-2.98894
113.207397975439,23.0076861708793,-2.992056
113.207405786679,23.0076854120693,-2.995159
113.207413583159,23.0076846534293,-2.998249
113.207421360599,23.0076838953393,-3.001325
113.207429123329,23.0076831374893,-3.004389
113.207436867119,23.0076823801793,-3.007439
113.207444596229,23.0076816231793,-3.010477
113.207452306459,23.0076808666893,-3.013502
113.207459999989,23.0076801107693,-3.016515
113.207467678899,23.0076793549893,-3.019516
113.207475339089,23.0076785999593,-3.022506
113.207482984699,23.0076778451793,-3.025486
113.207490611649,23.0076770910793,-3.028456
113.207497059393,23.0076749833577,-3.031416
113.207504653243,23.0076742302477,-3.034368
113.207512230603,23.0076734777577,-3.037313
113.207519793503,23.0076727255277,-3.040251
113.207527337953,23.0076719740777,-3.043183
113.207534868003,23.0076712230077,-3.04611
113.207542379663,23.0076704726477,-3.049033
113.207549874993,23.0076697229377,-3.051952
113.207557355973,23.0076689735577,-3.054869
113.207564818713,23.0076682249877,-3.057784
113.207572267143,23.0076674768777,-3.060698
113.207579690713,23.0076666763877,-3.063612
113.207587098113,23.0076658766677,-3.066526
113.207594491283,23.0076650775677,-3.069441
113.207601866413,23.0076642795477,-3.072358
113.207609225493,23.0076634824477,-3.075276
113.207616570413,23.0076626861077,-3.078197
113.207623897443,23.0076618909677,-3.081121
113.207631208513,23.0076610968777,-3.084048
113.207638505523,23.0076603036377,-3.086978
113.207645784793,23.0076595116677,-3.089912
113.207653048183,23.0076587208177,-3.09285
113.207660297583,23.0076579309277,-3.095792
113.207667529383,23.0076571423977,-3.098738
113.207674745393,23.0076563550277,-3.101689
113.207681947493,23.0076555686777,-3.104643
113.207689132113,23.0076547837577,-3.107601
113.207696301053,23.0076540000377,-3.110564
113.207703456143,23.0076532174077,-3.11353
113.207710593883,23.0076524362277,-3.116501
113.207717716033,23.0076516563277,-3.119475
113.207724824413,23.0076508775477,-3.122453
113.207731915573,23.0076501002377,-3.125435
113.207738991233,23.0076493242677,-3.128421
113.207746053233,23.0076485494077,-3.131411
113.207753098053,23.0076477761077,-3.134404
113.207760127553,23.0076470041277,-3.137401
113.207767141673,23.0076462335177,-3.140402
113.207774142223,23.0076454640677,-3.143407
113.207781125753,23.0076446961977,-3.146417
113.207788094103,23.0076439296777,-3.14943
113.207795048853,23.0076431643777,-3.152449
113.207801986803,23.0076424006277,-3.155473
113.207808909603,23.0076416382977,-3.158502
113.207815817233,23.0076408773577,-3.161537
113.207822711483,23.0076401176377,-3.164579
113.207829588973,23.0076393595177,-3.167627
113.207836451493,23.0076386027977,-3.170684
113.207843299033,23.0076378475177,-3.173749
113.207850133153,23.0076370934577,-3.176823
113.207856950793,23.0076363410077,-3.179906
113.207863753473,23.0076355900077,-3.183001
113.207870541343,23.0076348404077,-3.186107
113.207877315963,23.0076340920877,-3.189226
113.207884074133,23.0076333453777,-3.192358
113.207890817583,23.0076326000877,-3.195504
113.207897546293,23.0076318562577,-3.198665
113.207904261783,23.0076311136977,-3.201843
113.207910961083,23.0076303727477,-3.205037
113.207917645743,23.0076296332377,-3.20825
113.207924315783,23.0076288951977,-3.211482
113.207930971183,23.0076281585877,-3.214733
113.207937613573,23.0076274232577,-3.218005
113.207944239933,23.0076266895577,-3.221299
113.207950851743,23.0076259573177,-3.224614
113.207957449133,23.0076252265077,-3.227953
113.207964032083,23.0076244971577,-3.231315
113.207970602103,23.0076237691077,-3.234701
113.207977156233,23.0076230426677,-3.238112
113.207983696053,23.0076223176777,-3.241548
113.207990221563,23.0076215941477,-3.24501
113.207996732793,23.0076208720777,-3.248497
113.208003231153,23.0076201513077,-3.25201
113.208009713903,23.0076194321277,-3.255549
113.208016182463,23.0076187144177,-3.259114
113.208022636863,23.0076179981577,-3.262704
113.208029077123,23.0076172833577,-3.26632
113.208035504643,23.0076165698477,-3.269961
113.208041916733,23.0076158579377,-3.273627
113.208048314783,23.0076151474877,-3.277318
113.208054698823,23.0076144384977,-3.281032
113.208061068893,23.0076137309477,-3.28477
113.208067424973,23.0076130248577,-3.288529
113.208073768533,23.0076123200477,-3.292311
113.208080096843,23.0076116168477,-3.296112
113.208086411293,23.0076109150877,-3.299934
113.208092711923,23.0076102147777,-3.303774
113.208098998763,23.0076095159177,-3.307631
113.208105271793,23.0076088184977,-3.311505
113.208111532443,23.0076081223677,-3.315394
113.208117778063,23.0076074278277,-3.319296
113.208124010023,23.0076067347177,-3.323212
113.208130227813,23.0076060391077,-3.327138
113.208136432003,23.0076053450277,-3.331075
113.208142622623,23.0076046524577,-3.33502
113.208148799673,23.0076039614077,-3.338973
113.208154964503,23.0076032717277,-3.342931
113.208161114593,23.0076025836877,-3.346895
113.208167251233,23.0076018971577,-3.350861
113.208173374443,23.0076012121377,-3.35483
113.208179484253,23.0076005286077,-3.3588
113.208185580723,23.0075998465677,-3.36277
113.208191663843,23.0075991660277,-3.366738
