ini lat (deg),ini lon (deg),ini alt (m),ini vx_body (m/s),ini vy_body (m/s),ini vz_body (m/s),ini yaw (deg),ini pitch (deg),ini roll (deg)
1,0.23799493,0.0053461817,0.0047654378,0,0,0,0.05,1
1,0.23670883,0.0053439062,0.0047708739,0,0,0,0.05,1
1,0.23542274,0.0053416282,0.00477629,0,0,0,0.05,1
1,0.23413665,0.0053393478,0.0047816863,0,0,0,0.05,1
1,0.23285057,0.0053370651,0.0047870626,0,0,0,0.05,1
1,0.23156449,0.0053347799,0.004792419,0,0,0,0.05,1
1,0.23027843,0.0053324923,0.0047977555,0,0,0,0.05,1
1,0.22899236,0.0053302024,0.0048030721,0,0,0,0.05,1
1,0.22770631,0.00532791,0.0048083687,0,0,0,0.05,1
1,0.22642026,0.0053256152,0.0048136455,0,0,0,0.05,1
1,0.22513422,0.005323318,0.0048189023,0,0,0,0.05,1
1,0.22384819,0.0053210184,0.0048241393,0,0,0,0.05,1
1,0.22256216,0.0053187165,0.0048293563,0,0,0,0.05,1
1,0.22127614,0.0053164121,0.0048345534,0,0,0,0.05,1
1,0.21999013,0.0053141053,0.0048397306,0,0,0,0.05,1
1,0.21870413,0.0053117961,0.0048448879,0,0,0,0.05,1
1,0.21741813,0.0053094845,0.0048500253,0,0,0,0.05,1
1,0.21613214,0.0053071704,0.0048551427,0,0,0,0.05,1
1,0.21484615,0.005304854,0.0048602403,0,0,0,0.05,1
1,0.21356017,0.0053025352,0.0048653179,0,0,0,0.05,1
1,0.2122742,0.005300214,0.0048703756,0,0,0,0.05,1
1,0.21098824,0.0052978904,0.0048754134,0,0,0,0.05,1
1,0.20970228,0.0052955644,0.0048804313,0,0,0,0.05,1
1,0.20841633,0.0052932359,0.0048854293,0,0,0,0.05,1
1,0.20713038,0.0052909051,0.0048904074,0,0,0,0.05,1
1,0.20584445,0.0052885719,0.0048953655,0,0,0,0.05,1
1,0.20455852,0.0052862362,0.0049003038,0,0,0,0.05,1
1,0.20327259,0.0052838982,0.0049052221,0,0,0,0.05,1
1,0.20198668,0.0052815577,0.0049101205,0,0,0,0.05,1
1,0.20070077,0.0052792149,0.004914999,0,0,0,0.05,1
1,0.19941487,0.0052768696,0.0049198576,0,0,0,0.05,1
1,0.19812897,0.005274522,0.0049246963,0,0,0,0.05,1
1,0.19684308,0.0052721719,0.0049295151,0,0,0,0.05,1
1,0.1955572,0.0052698195,0.004934314,0,0,0,0.05,1
1,0.19427132,0.0052674646,0.0049390929,0,0,0,0.05,1
1,0.19298546,0.0052651073,0.0049438519,0,0,0,0.05,1
1,0.19169959,0.0052627477,0.0049485911,0,0,0,0.05,1
1,0.19041374,0.0052603856,0.0049533103,0,0,0,0.05,1
1,0.18912789,0.0052580211,0.0049580096,0,0,0,0.05,1
1,0.18784205,0.0052556542,0.004962689,0,0,0,0.05,1
1,0.18655622,0.005253285,0.0049673484,0,0,0,0.05,1
1,0.18527039,0.0052509133,0.004971988,0,0,0,0.05,1
1,0.18398457,0.0052485392,0.0049766076,0,0,0,0.05,1
1,0.18269876,0.0052461627,0.0049812074,0,0,0,0.05,1
